Time [ms];X;Y;Z;W;P;R;J1;J2;J3;J4;J5;J6;
 0; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 8; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 16; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 24; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 32; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 40; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 48; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 56; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 72; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 80; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 88; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 96; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 104; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 112; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 120; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 128; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 136; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 144; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 152; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 160; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 168; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 176; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 184; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 200; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 208; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 216; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 224; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 232; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 240; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 248; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 256; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 264; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 272; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 280; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 288; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 296; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 304; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 312; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 328; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 336; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 344; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 352; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 360; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 368; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 376; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 384; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 392; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 400; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 408; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 416; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 424; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 432; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 440; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 456; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 464; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 472; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 480; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 488; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 496; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 504; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 512; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 520; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 528; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 536; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 544; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 552; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 560; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 568; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 584; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 592; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 600; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 608; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 616; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 624; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 632; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 640; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 648; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 656; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 664; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 672; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 680; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 688; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 696; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 712; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 720; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 728; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 736; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 744; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 752; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 760; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 768; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 776; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 784; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 792; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 800; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 808; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 816; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 824; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 840; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 848; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 856; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 864; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 872; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 880; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 888; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 896; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 904; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 912; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 920; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 928; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 936; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 944; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 952; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 968; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 976; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 984; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 992; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 1000; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 1008; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
 1016; 1080.723; .019; 869.259; -179.998; -44.997; -.001; .001; .000; -.001; -.000; -45.001; -.001;
